Sample,group,lat,long,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
Litharge,Agrileza,37.686652,24.017778,18.7784,15.684659,38.840567
Pb metal,Agrileza,37.686652,24.017778,18.79,15.646433,38.723372
